"river name","area","nodes"
"Leguer",488.813930654,52
"Aulne",1794.62723541,217
"Odet",720.064477795,86
"Leyre",2177.14838149,131
"Zrmanja",827.882919242,54
"Cetina",3833.26941994,118
"Krka",2574.43189434,181
"Roya",678.471301317,58
"Courant.Contis",643.858020716,56
"Neretva",13097.6968444,654
"Foglia",701.536629125,42
"Metauro",1402.13050143,88
"Cesano",676.280560851,22
"Siagne",513.659541452,46
"Touloubre",1680.54205037,80
"Esino",994.456286722,76
"Musone",637.432883773,34
"Narcea",4914.21852531,448
"Ombrone",3634.27578352,221
"Potenza",794.000629663,42
"Chienti",1340.79087019,78
"Tambre",1567.12994315,181
"Tenna",486.84649502,16
"Bruna",739.324510753,44
"Ulla",2794.43988115,321
"Albegna",737.161734134,40
"Tech",736.175677571,52
"Ter",2969.36749817,160
"Llobregat",5007.64408252,255
"Paliastomi",564.620529258,24
"Lima",2472.85530231,253
"Trigno",1217.34456256,59
"Biferno",1325.98808788,74
"Cavado",1590.69274368,191
"Fortore",1620.61261672,82
"Volturno",5932.14646573,376
"Ave",1382.88425588,150
"Mert",831.755767428,42
"Gallikos",1154.72147102,44
"Liscia",563.041857559,27
"Bradano",3075.24596926,120
"Vouga",2380.37159596,116
"Mondego",6663.09642208,475
"Basento",1564.73107152,65
"Turia",6305.99580123,316
"Pinios.The",9309.52212358,437
"Kalamas",1815.93504851,160
"Lis",837.418974572,54
"Arachthos",2473.93934923,141
"Louros",1080.17761313,56
"Neto",947.553059797,32
"Tacina",562.851056047,20
"Seyhan",15597.6069128,688
"Sperchios",1518.83054639,92
"Segura",14965.1214053,668
"Evinos",1105.99010812,58
"Kifissos.Beo",2554.5834952,111
"Sado",6438.08989752,308
"Pinios.Pel",888.431552808,35
"Alfios",3437.18774382,203
"Mira.Portugal",1573.21021638,80
"Kirkeuz",3353.78415026,88
"Evrotas",1902.87927737,92
"Arade",970.627701469,46
"Pamissos",786.169149906,38
"Boga",1035.7976226,56
"Guadalete",3387.72751411,160
"Acisu",297.349675554,16
"Alara",1090.12965444,75
"Basgoz.Cayi",765.804712911,44
"Na.aman",310.268160914,18
"Qishon",1123.10763114,55
"Yarquon",1783.05810721,86
"Soreq",781.904162002,32
"Zohreh",14256.6905444,703
"Minab",10285.9239331,482
"Hassan.Langi",3303.60023647,124
